අං	a ŋ
කුණුහරුප	k u n u h a r u p ə
කුණුහරුපයක්	k u n u h a r u p ə y a k
කුණුහරුපෙන්	k u n u h a r u p e n
කුත්	k u t
කුතුහලය	k u t u h a l ə y ə
කුතුහලයක්	k u t u h a l ə y a k
කුතුහලයෙන්	k u t u h a l ə y e n
කුදු	k u d u
කුන්ග්ෆු	k u ŋ f u
කුන්ෆු	k u n f u
කුනු	k u n u
කුනුහරප	k u n u h a r ə p ə
කුනුහරුප	k u n u h a r u p ə
කුප්	k u p
කුප්පි	k u p p i
කුපාඩි	k u p aː ɖ i
කුපිත	k u p i t ə
කුබ්ලායි	k u b l aː y
කුමකටද	k u m ə k ə ʈ ə d ə
කුමක්	k u m a k
කුමක්ද	k u m a k d ə
කුමක්දැයි	k u m a k d æ y
කුමකින්	k u m ə k i n
කුමට	k u m ə ʈ ə
කුමටද	k u m ə ʈ ə d ə
කුමණ	k u m ə n ə
කුමන	k u m ə n ə
කුමන්ත්රණයක්	k u m a n t r ə n ə y a k
කුමන්ත්‍රණයක්	k u m a n t r ə n ə y a k
කුමර	k u m ə r ə
කුමරා	k u m ə r aː
කුමරි	k u m ə r i
කුමරිය	k u m ə r i y ə
කුමරියගේ	k u m ə r i y ə g eː
කුමරියට	k u m ə r i y ə ʈ ə
කුමරු	k u m ə r u
කුමරුගේ	k u m ə r u g e
කුමරුට	k u m ə r u ʈ ə
කුමරුන්	k u m ə r u n
කුමරුන්ගේ	k u m ə r u n g e
කුමරුන්ට	k u m ə r u n ʈ ə
කුම්භ	k u m b ə
කුම්භකර්ණ	k u m b ə k a r n ə
කුම්භයේ	k u m b ə y eː
කුම්භාණ්ඩ	k u m b aː n ɖ ə
කුම්භාණ්ඩයෝ	k u m b aː n ɖ ə y o
කුමාර	k u m aː r ə
කුමාරගේ	k u m aː r ə g eː
කුමාරට	k u m aː r ə ʈ ə
කුමාරණතුංග	k u m aː r ə n ə t u ŋ g ə
කුමාරතුංග	k u m aː r ə t u ŋ g ə
කුමාරතුංගගේ	k u m aː r ə t u ŋ g ə g eː
කුමාරතුංගයන්	k u m aː r ə t u ŋ g ə y a n
කුමාරදාස	k u m aː r ə d aː s ə
කුමාරය	k u m aː r ə y a
කුමාරය	k u m aː r ə y ə
කුමාරයට	k u m aː r ə y a ʈ ə
කුමාරයා	k u m aː r ə y aː
කුමාරයාගේ	k u m aː r ə y aː g eː
කුමාරයාට	k u m aː r ə y aː ʈ ə
කුමාරයාද	k u m aː r ə y aː d ə
කුමාරයෙක්	k u m aː r ə y e k
කුමාරවරු	k u m aː r ə w ə r u
කුමාරසිංහ	k u m aː r ə s i ŋ h ə
කුමාරසිරි	k u m aː r ə s i r i
කුමාර්	k u m aː r
කුමාරි	k u m aː r i
කුමාරිකාවන්	k u m aː r i k aː w a n
කුමාරිගේ	k u m aː r i g eː
කුමාරිය	k u m aː r i y ə
කුමාරිහාමි	k u m aː r i h aː m i
කුමුදු	k u m u d u
කුමුදුමලී	k u m u d u m ə l i
කුඹල්	k u ᵐb a l
කුඹුකන්ඔය	k u ᵐb u k a n o y ə
කුඹුකන්ඔයට	k u ᵐb u k a n o y ə ʈ ə
කුඹුක්	k u ᵐb u k
කුඹුක්කන්	k u ᵐb u k k a n
කුඹුක්කන්ඔය	k u ᵐb u k k a n o y ə
කුඹුර	k u ᵐb u r ə
කුඹුරක	k u ᵐb u r ə k ə
කුඹුරක්	k u ᵐb u r a k
කුඹුරට	k u ᵐb u r ə ʈ ə
කුඹුරු	k u ᵐb u r u
කුඹුරුවල	k u ᵐb u r u w ə l ə
කුඹුරුවලට	k u ᵐb u r u w ə l ə ʈ ə
කුඹුරෙ	k u ᵐb u r e
කුඹුරෙන්	k u ᵐb u r e n
කුඹුරේ	k u ᵐb u r eː
කුර	k u r ə
කුරක්කන්	k u r a k k a ŋ
කුරගල	k u r ə g a l ə
කුරගල	k u r ə g ə l ə
කුරහන්	k u r a h a n
කුරහන්	k u r ə h a n
කුරාණය	k u r aː n ə y ə
කුරානය	k u r aː n ə y ə
කුරානයේ	k u r aː n ə y e
කුරානෙ	k u r aː n e
කුරානේ	k u r aː n eː
කුරාම්	k u r aː m
කුරිරු	k u r i r u
කුරු	k u r u
කුරුකුලසූරිය	k u r u k u l ə s uː r i y ə
කුරුටු	k u r u ʈ u
කුරුණෑගල	k u r u n æː g ə l ə
කුරුණෑගලට	k u r u n æː g ə l ə ʈ ə
කුරුණෑගලදී	k u r u n æː g ə l ə d i
කුරුණෑගලින්	k u r u n æː g ə l i n
කුරුනෑගල	k u r u n æː g ə l ə
කුරුඳු	k u r u ⁿd u
කුරුඳුවත්ත	k u r u ⁿd u w a t t ə
කුරුප්පු	k u r u p p u
කුරුම්බා	k u r u m b a
කුරුමිණියෝ	k u r u m i n i y o
කුරුල්ලකු	k u r u l l ə k u
කුරුල්ලන්	k u r u l l a n
කුරුල්ලන්ගේ	k u r u l l a n g e
කුරුල්ලන්ට	k u r u l l a n ʈ ə
කුරුල්ලා	k u r u l l a
කුරුල්ලෝ	k u r u l l oː
කුරුලෑ	k u r u l æː
කුරුලු	k u r u l u
කුරුලූ	k u r u l uː
කුරුවල්	k u r u w a l
කුරුවිට	k u r u w i ʈ ə
කුරුස	k u r u s ə
කුරුසය	k u r u s ə y ə
කුරුසයන්	k u r u s ə y a n
කුරුසයන්ගේ	k u r u s ə y a n g eː
කුරුසයන්ට	k u r u s ə y a n ʈ ə
කුරුසයින්	k u r u s ə i n
කුරුසයෝ	k u r u s ə y oː
කුරුසියේ	k u r u s i y eː
කුරුසෙ	k u r u s e
කුරුසේ	k u r u s e
කුරුළු	k u r u l u
කුරේ	k u r eː
කුල	k u l ə
කුලකයට	k u l ə k ə y ə ʈ ə
කුලතිලක	k u l ə t i l ə k ə
කුලතුංග	k u l ə t u ŋ g ə
කුලපති	k u l ə p a t i
කුලපති	k u l ə p ə t i
කුලප්පු	k u l a p p u
කුලය	k u l ə y ə
කුලයක	k u l ə y ə k ə
කුලයකට	k u l ə y ə k ə ʈ ə
කුලයක්	k u l ə y a k
කුලයට	k u l ə y ə ʈ ə
කුලයෙන්	k u l ə y e n
කුලයේ	k u l ə y eː
කුලරත්න	k u l ə r a t n ə
කුලල්	k u l a l
කුලවල	k u l ə w ə l ə
කුලසේකර	k u l ə s eː k ə r ə
කුල්මත්	k u l m a t
කුලෑටි	k u l æː ʈ i
කුලි	k u l i
කුලිය	k u l i y ə
කුලියට	k u l i y ə ʈ ə
කුලියාපිටිය	k u l i y aː p i ʈ i y ə
කුලී	k u l iː
කුලුන	k u l u n ə
කුලුනු	k u l u n u
කුලුඳුල්	k u l u ⁿd u l
කුලේ	k u l eː
කුවේට්	k u w eː ʈ
කුවේණි	k u w eː n i
කුවේණිය	k u w eː n i y ə
කුවේර	k u w eː r ə
කුශල	k u ʃ ə l ə
කුශලය	k u ʃ ə l ə y ə
කුෂ්ට	k u ʃ ʈ ə
කුෂ්ඨ	k u ʃ ʈ ə
කුෂාන්	k u ʃ aː n
කුස	k u s ə
කුසගින්න	k u s ə g i n n ə
කුසගිනි	k u s ə g i n i
කුසට	k u s ə ʈ ə
කුසල	k u s ə l ə
කුසලට	k u s ə l ə ʈ ə
කුසලතා	k u s ə l ə t aː
කුසලතාව	k u s ə l ə t aː w ə
කුසලතාවන්	k u s ə l ə t aː w a n
කුසලතාවයයි	k u s ə l ə t aː w ə y a y
කුසලය	k u s ə l ə y ə
කුසලයක්	k u s ə l ə y a k
කුසලයෙහි	k u s ə l ə y e h i
කුසලස්ස	k u s ə l a s s ə
කුසල්	k u s a l
කුසලා	k u s ə l aː
කුසලාකුසල	k u s ə l aː k u s ə l ə
කුසලාන	k u s ə l aː n ə
කුසලානය	k u s ə l aː n ə y ə
කුසලානයද	k u s ə l aː n ə y ə d ə
කුසවල්	k u s ə w a l
කුස්සිය	k u s s i y ə
කුස්සියට	k u s s i y ə ʈ ə
කුස්සියේ	k u s s i y eː
කුසින්	k u s i n
කුසුම්	k u s u m
කුසුමා	k u s u m aː
කුසේ	k u s eː
කුහක	k u h ə k ə
කුහකකම	k u h ə k ə k a m ə
කුහකකම්	k u h ə k ə k a m
කුහකත්වය	k u h ə k a t w ə y ə
කුහකයෙක්	k u h ə k ə y e k
කුහකයෝ	k u h ə k ə y o
කුහර	k u h ə r ə
කුහරය	k u h ə r ə y ə
කුහුඹු	k u h u ᵐb u
කුළු	k u l u
කුළුණ	k u l u n ə
කුළුණු	k u l u n u
කුළුදුල්	k u l u d u l
කුළුඳුල්	k u l u ⁿd u l
කුළුඳුලේ	k u l u ⁿd u l eː
කුළුපග	k u l u p a g ə
කුළුබඩු	k u l u b a ɖ u
කුළේ	k u l eː
කූට	k uː ʈ ə
කූඨ	k uː ʈ ə
කූඩ	k uː ɖ ə
කූඩාරම්	k uː ɖ aː r a m
කූඩැල්ලන්	k uː ɖ æ l l a n
කූඩු	k uː ɖ u
කූඩුව	k uː ɖ u w ə
කූඩුවක්	k uː ɖ u w a k
කූඩුවට	k uː ɖ u w ə ʈ ə
කූඩුවලට	k uː ɖ u w ə l ə ʈ ə
කූඩුවේ	k uː ɖ u w e
කූඹි	k uː ᵐb i
කූඹින්ගේ	k uː ᵐb i n g e
කූඹියෙක්	k uː ᵐb i y e k
කූරක්	k uː r a k
කූරගල	k uː r ə g ə l ə
කූරු	k uː r u
කූල්	k uː l
කූලෝම්	k uː l oː m
කෘ	k r u
කෘත	k r u t ə
කෘත්යය	k r u t y ə y ə
කෘතගුණ	k r u t ə g u n ə
කෘතඥ	k r u t a k ɲ ə
කෘතඥතාව	k r u t a k ɲ ə t aː w ə
කෘතඥවේද	k r u t a k ɲ ə w eː d ə
කෘතවේදී	k r u t ə w eː d iː
කෘතවේදීව	k r u t ə w eː d iː w ə
කෘතහස්ත	k r u t ə h a s t ə
කෘති	k r u t i
කෘතින්	k r u t i n
කෘතිම	k r u t i m ə
කෘතිමව	k r u t i m ə w ə
කෘතිය	k r u t i y ə
කෘතියක	k r u t i y ə k ə
කෘතියකට	k r u t i y ə k ə ʈ ə
කෘතියක්	k r u t i y a k
කෘතියකි	k r u t i y ə k i
කෘතියකින්	k r u t i y ə k i n
කෘතියට	k r u t i y ə ʈ ə
කෘතියත්	k r u t i y a t
කෘතියයි	k r u t i y a y
කෘතියෙන්	k r u t i y e n
කෘතියෙනි	k r u t i y e n i
කෘතියෙහි	k r u t i y e h i
කෘතියේ	k r u t i y eː
කෘතියේදී	k r u t i y eː d iː
කෘතිවල	k r u t i w ə l ə
කෘතිවලින්	k r u t i w ə l i n
කෘතීන්	k r u t iː n
කෘතීන්ය	k r u t iː n y ə
කෘතීන්හි	k r u t iː n h i
කෘතීම	k r u t iː m ə
කෘතීමව	k r u t iː m ə w ə
කෘමි	k r u m i
කෘමිනාශක	k r u m i n aː ʃ ə k ə
කෘමිනාශකවල	k r u m i n aː ʃ ə k ə w ə l ə
කෘමියා	k r u m i y aː
කෘමීන්	k r u m iː n
කෘමීන්ගෙන්	k r u m iː n g e n
කෘර	k r u r ə
කෘෂ	k r u ʃ ə
කෘෂ්ණ	k r u ʃ n ə
කෘෂි	k r u ʃ i
කෘෂිකර්ම	k r u ʃ i k a r m ə
කෘෂිකර්මය	k r u ʃ i k a r m ə y ə
කෘෂිකර්මයට	k r u ʃ i k a r m ə y ə ʈ ə
කෘෂිකර්මයේ	k r u ʃ i k a r m ə y e
කෘෂිකර්මාන්ත	k r u ʃ i k a r m aː n t ə
කෘෂිකර්මාන්තය	k r u ʃ i k a r m aː n t ə y ə
කෘෂිකර්මාන්තයට	k r u ʃ i k a r m aː n t ə y ə ʈ ə
කෘෂිකර්මාන්තයේ	k r u ʃ i k a r m aː n t ə y eː
කෘෂිකාර්මික	k r u ʃ i k aː r m i k ə
කෘෂිරසායන	k r u ʃ i r a s aː y ə n ə
කෘෂිරසායනික	k r u ʃ i r a s aː y ə n i k ə
කෘෂී	k r u ʃ iː
කෙට්ටු	k e ʈ ʈ u
කෙටි	k e ʈ i
කෙටිකතා	k e ʈ i k a t aː
කෙටිකතාව	k e ʈ i k a t aː w ə
කෙටිකාලීන	k e ʈ i k aː l iː n ə
කෙටිම	k e ʈ i m ə
කෙටිය	k e ʈ i y ə
කෙටියි	k e ʈ i y
කෙටියෙන්	k e ʈ i y e n
කෙටියෙන්ම	k e ʈ i y e n m ə
කෙටීම	k e ʈ iː m ə
කෙටුම්පත	k e ʈ u m p a t ə
කෙටුම්පත්	k e ʈ u m p a t
කෙටුවා	k e ʈ u w a
කෙටුවේ	k e ʈ u w eː
කෙටූ	k e ʈ uː
කෙත	k e t ə
කෙතරම්	k e t ə r a m
කෙතරම්ද	k e t ə r a m d ə
කෙත්	k e t
කෙත්වතු	k e t w a t u
කෙතෙක්	k e t e k
කෙදිනක	k e d i n ə k ə
කෙදිනකවත්	k e d i n ə k ə w a t
කෙනකු	k e n ə k u
කෙනකුගේ	k e n ə k u g eː
කෙනකුට	k e n ə k u ʈ ə
කෙනකුම	k e n ə k u m ə
කෙනඩි	k e n ə ɖ i
කෙනත්	k e n ə t
කෙනමන්	k e n ə m ə n
කෙනයි	k e n a y
කෙන්	k e n
කෙන්ගෙඩියක්	k e n g e ɖ i y a k
කෙන්ජි	k e n ɟ i
කෙන්ද	k e n d ə
කෙනා	k e n aː
කෙනාගෙ	k e n aː g e
කෙනාගෙන්	k e n aː g e n
කෙනාගේ	k e n aː g e
කෙනාට	k e n aː ʈ ə
කෙනාටත්	k e n aː ʈ a t
කෙනාටම	k e n aː ʈ ə m ə
කෙනාත්	k e n aː t
කෙනාම	k e n aː m ə
කෙනාව	k e n aː w ə
කෙනී	k e n iː
කෙනෙක්	k e n e k
කෙනෙක්ගෙ	k e n e k g e
කෙනෙක්ගෙන්	k e n e k g e n
කෙනෙක්ගේ	k e n e k g eː
කෙනෙක්ට	k e n e k ʈ ə
කෙනෙක්ටම	k e n e k ʈ ə m ə
කෙනෙක්ද	k e n e k d ə
කෙනෙක්නම්	k e n e k n a m
කෙනෙක්නේ	k e n e k n eː
කෙනෙක්ම	k e n e k m ə
කෙනෙක්ව	k e n e k w ə
කෙනෙක්වත්	k e n e k w a t
කෙනෙකි	k e n e k i
කෙනෙකු	k e n e k u
කෙනෙකුගෙ	k e n e k u g e
කෙනෙකුගෙන්	k e n e k u g e n
කෙනෙකුගේ	k e n e k u g e
කෙනෙකුට	k e n e k u ʈ ə
කෙනෙකුටම	k e n e k u ʈ ə m ə
කෙනෙකුටවත්	k e n e k u ʈ ə w a t
කෙනෙකුත්	k e n e k u t
කෙනෙකුන්	k e n e k u n
කෙනෙකුම	k e n e k u m ə
කෙනෙකුයි	k e n e k u y
කෙනෙකුව	k e n e k u w ə
කෙනෙහිලිකම්	k e n e h i l i k a m
කෙඳි	k e ⁿd i
කෙඳිති	k e ⁿd i t i
කෙඳිරි	k e ⁿd i r i
කෙඳිරිලි	k e ⁿd i r i l i
කෙප්ප	k e p p ə
කෙප්පයක්	k e p p ə y a k
කෙප්පෙ	k e p p e
කෙබදු	k e b a d u
කෙබඳු	k e b a ⁿd u
කෙබඳුද	k e b a ⁿd u d ə
කෙබඳුදැයි	k e b a ⁿd u d æ y
කෙබර	k e b ə r ə
කෙම්	k e m
කෙමෙන්	k e m e n
කෙරවලපිටිය	k e r ə w ə l ə p i ʈ i y ə
කෙරිණ	k e r i n ə
කෙරිණි	k e r i n i
කෙරී	k e r iː
කෙරීගෙන	k e r iː g e n ə
කෙරුණ	k e r u n ə
කෙරුණා	k e r u n a
කෙරුණි	k e r u n i
කෙරුණු	k e r u n u
කෙරුණේ	k e r u n e
කෙරුනු	k e r u n u
කෙරුනේ	k e r u n eː
කෙරුම්	k e r u m
කෙරුව	k e r u w ə
කෙරුවට	k e r u w a ʈ ə
කෙරුවත්	k e r u w a t
කෙරුවද	k e r u w ə d ə
කෙරුවා	k e r u w a
කෙරුවාව	k e r u w aː w ə
කෙරුවාවල්	k e r u w aː w a l
කෙරුවෙ	k e r u w e
කෙරුවේ	k e r u w eː
කෙරුවොත්	k e r u w o t
කෙරෙති	k e r e t i
කෙරෙන	k e r e n ə
කෙරෙනවා	k e r e n ə w a
කෙරෙන්	k e r e n
කෙරෙන්න	k e r e n n ə
කෙරෙන්නකි	k e r e n n ə k i
කෙරෙන්නෙ	k e r e n n e
කෙරෙන්නේ	k e r e n n eː
කෙරෙනු	k e r e n u
කෙරෙනුයේ	k e r e n u y eː
කෙරෙමින්	k e r e m i n
කෙරෙයි	k e r e y
කෙරෙව්වා	k e r e w w a
කෙරෙහි	k e r e h i
කෙරෙහිත්	k e r e h i t
